"Period","Commodities Price Index","percent_change","average","three Year Trend","Deviation From 3 Year Trend","Mean of 3 Year Trend","eight Year Trend","Deviation From 8 Year Trend","Mean of 8 Year Trend","GDP Price Deflator","Ratio: Commodities Price Index to GDP Price Deflator","Mean_of_Ratio"
"Q1 1995",269.18,2.51742392504856,4.03542916548988,258.716666666667,10.4633333333334,9.50748397435897,262.170625,7.00937500000003,26.6977013221154,69.5,3.87309352517986,4.71682152606454
"Q2 1995",271.42,4.15595379715263,4.03542916548988,260.665,10.755,9.50748397435897,263.27125,8.14875000000001,26.6977013221154,69.8,3.88853868194842,4.71682152606454
"Q3 1995",278.24,5.34206640669368,4.03542916548988,262.169166666667,16.0708333333333,9.50748397435897,264.11,14.13,26.6977013221154,70.1,3.96918687589158,4.71682152606454
"Q4 1995",286.25,12.0703155586877,4.03542916548988,264.823333333333,21.4266666666667,9.50748397435897,265.334375,20.915625,26.6977013221154,70.5,4.06028368794326,4.71682152606454
"Q1 1996",296.18,10.0304628872873,4.03542916548988,267.905,28.275,9.50748397435897,266.8240625,29.3559375,26.6977013221154,70.7,4.18925035360679,4.71682152606454
"Q2 1996",297.75,9.7008326578734,4.03542916548988,269.965,27.785,9.50748397435897,267.9484375,29.8015625,26.6977013221154,70.9,4.19957686882934,4.71682152606454
"Q3 1996",290.83,4.52487061529614,4.03542916548988,273.6675,17.1625,9.50748397435897,268.1990625,22.6309375,26.6977013221154,71.3,4.07896213183731,4.71682152606454
"Q4 1996",284.71,-0.537991266375553,4.03542916548988,276.439166666667,8.27083333333331,9.50748397435897,268.9490625,15.7609375,26.6977013221154,71.8,3.96532033426184,4.71682152606454
"Q1 1997",310.97,4.99358498210548,4.03542916548988,280.4725,30.4975,9.50748397435897,269.956875,41.013125,26.6977013221154,72,4.31902777777778,4.71682152606454
"Q2 1997",282.4,-5.15533165407222,4.03542916548988,282.29,0.109999999999957,9.50748397435897,269.836875,12.563125,26.6977013221154,71.8,3.93314763231198,4.71682152606454
"Q3 1997",279.46,-3.90950039542001,4.03542916548988,283.5675,-4.10750000000002,9.50748397435897,269.969375,9.49062499999997,26.6977013221154,72,3.88138888888889,4.71682152606454
"Q4 1997",273.86,-3.81089529696883,4.03542916548988,285.104166666667,-11.2441666666667,9.50748397435897,270.1175,3.74250000000001,26.6977013221154,72.2,3.79307479224377,4.71682152606454
"Q1 1998",259.56,-16.5321413641187,4.03542916548988,284.3025,-24.7425,9.50748397435897,269.54625,-9.98624999999998,26.6977013221154,72,3.605,4.71682152606454
"Q2 1998",252.18,-10.7011331444759,4.03542916548988,282.699166666667,-30.5191666666666,9.50748397435897,268.86125,-16.68125,26.6977013221154,72,3.5025,4.71682152606454
"Q3 1998",239.74,-14.2131253131038,4.03542916548988,279.490833333333,-39.7508333333333,9.50748397435897,268.144375,-28.404375,26.6977013221154,71.7,3.34365411436541,4.71682152606454
"Q4 1998",231.67,-15.4056817351932,4.03542916548988,274.9425,-43.2725,9.50748397435897,265.909375,-34.239375,26.6977013221154,71.8,3.22660167130919,4.71682152606454
"Q1 1999",224.68,-13.4381260594853,4.03542916548988,268.984166666667,-44.3041666666667,9.50748397435897,264.341875,-39.661875,26.6977013221154,72.1,3.11622746185853,4.71682152606454
"Q2 1999",238.45,-5.44452375287494,4.03542916548988,264.0425,-25.5925,9.50748397435897,263.7884375,-25.3384375,26.6977013221154,72.9,3.27091906721536,4.71682152606454
"Q3 1999",264.79,10.4488195545174,4.03542916548988,261.8725,2.91750000000002,9.50748397435897,264.098125,0.691875000000039,26.6977013221154,73.7,3.59280868385346,4.71682152606454
"Q4 1999",278.66,20.2831613933613,4.03542916548988,261.368333333333,17.2916666666667,9.50748397435897,265.256875,13.403125,26.6977013221154,74.1,3.76059379217274,4.71682152606454
"Q1 2000",285.5,27.0696101121595,4.03542916548988,259.245833333333,26.2541666666667,9.50748397435897,266.621875,18.878125,26.6977013221154,75,3.80666666666667,4.71682152606454
"Q2 2000",304.99,27.9052212203816,4.03542916548988,261.128333333333,43.8616666666667,9.50748397435897,268.4015625,36.5884375,26.6977013221154,76.2,4.00249343832021,4.71682152606454
"Q3 2000",342.65,29.4044337021791,4.03542916548988,266.394166666667,76.2558333333333,9.50748397435897,270.9784375,71.6715625,26.6977013221154,76.9,4.45578673602081,4.71682152606454
"Q4 2000",345.55,24.0041627790138,4.03542916548988,272.368333333333,73.1816666666667,9.50748397435897,273.826875,71.723125,26.6977013221154,77.5,4.45870967741936,4.71682152606454
"Q1 2001",373.4,30.7880910683012,4.03542916548988,281.855,91.545,9.50748397435897,277.395625,96.004375,26.6977013221154,78.3,4.76883780332056,4.71682152606454
"Q2 2001",319.66,4.80999377028756,4.03542916548988,287.478333333333,32.1816666666667,9.50748397435897,278.8528125,40.8071875,26.6977013221154,78.3,4.08250319284802,4.71682152606454
"Q3 2001",297.33,-13.2263242375602,4.03542916548988,292.2775,5.05250000000001,9.50748397435897,280.444375,16.885625,26.6977013221154,77.4,3.84147286821705,4.71682152606454
"Q4 2001",241.58,-30.0882650846477,4.03542916548988,293.103333333333,-51.5233333333333,9.50748397435897,280.1359375,-38.5559375,26.6977013221154,76.8,3.14557291666667,4.71682152606454
"Q1 2002",246.86,-33.888591322978,4.03542916548988,294.951666666667,-48.0916666666666,9.50748397435897,279.645,-32.785,26.6977013221154,77.1,3.20181582360571,4.71682152606454
"Q2 2002",282.19,-11.721829443784,4.03542916548988,298.596666666667,-16.4066666666667,9.50748397435897,280.32,1.87,26.6977013221154,78.5,3.59477707006369,4.71682152606454
"Q3 2002",278.1,-6.46756129553021,4.03542916548988,299.705833333333,-21.6058333333333,9.50748397435897,280.7565625,-2.65656250000001,26.6977013221154,79,3.52025316455696,4.71682152606454
"Q4 2002",286.31,18.5156055964898,4.03542916548988,300.343333333333,-14.0333333333334,9.50748397435897,281.721875,4.58812499999999,26.6977013221154,80,3.578875,4.71682152606454
"Q1 2003",304.96,23.5356072267682,4.03542916548988,301.965,2.995,9.50748397435897,282.84,22.12,26.6977013221154,81.1,3.76029593094945,4.71682152606454
"Q2 2003",309.18,9.56447783408342,4.03542916548988,302.314166666667,6.86583333333334,9.50748397435897,284.02,25.16,26.6977013221154,80.4,3.8455223880597,4.71682152606454
"Q3 2003",339.08,21.9273642574613,4.03542916548988,302.016666666667,37.0633333333333,9.50748397435897,285.92125,53.15875,26.6977013221154,81.4,4.16560196560197,4.71682152606454
"Q4 2003",316.62,10.5864272990814,4.03542916548988,299.605833333333,17.0141666666667,9.50748397435897,286.8703125,29.7496875,26.6977013221154,81.8,3.87066014669927,4.71682152606454
"Q1 2004",352.81,15.6905823714586,4.03542916548988,297.89,54.92,9.50748397435897,288.64,64.17,26.6977013221154,82.7,4.26614268440145,4.71682152606454
"Q2 2004",375.37,21.4082411540203,4.03542916548988,302.5325,72.8375,9.50748397435897,291.065625,84.304375,26.6977013221154,83.8,4.47935560859189,4.71682152606454
"Q3 2004",399.1,17.7008375604577,4.03542916548988,311.013333333333,88.0866666666667,9.50748397435897,294.4490625,104.6509375,26.6977013221154,84.3,4.73428232502966,4.71682152606454
"Q4 2004",418.73,32.2500157918009,4.03542916548988,325.775833333333,92.9541666666667,9.50748397435897,298.6371875,120.0928125,26.6977013221154,84.6,4.94952718676123,4.71682152606454
"Q1 2005",422.89,19.8633825571837,4.03542916548988,340.445,82.445,9.50748397435897,302.1346875,120.7553125,26.6977013221154,85.1,4.96933019976498,4.71682152606454
"Q2 2005",475.07,26.5604603457921,4.03542916548988,356.518333333333,118.551666666667,9.50748397435897,308.155625,166.914375,26.6977013221154,85.7,5.54340723453909,4.71682152606454
"Q3 2005",484.3,21.3480330744174,4.03542916548988,373.701666666667,110.598333333333,9.50748397435897,314.556875,169.743125,26.6977013221154,86.9,5.57307249712313,4.71682152606454
"Q4 2005",618.73,47.7634752704607,4.03542916548988,401.403333333333,217.326666666667,9.50748397435897,325.3340625,293.3959375,26.6977013221154,88,7.03102272727273,4.71682152606454
"Q1 2006",556.14,31.5093759606517,4.03542916548988,422.335,133.805,9.50748397435897,334.6021875,221.5378125,26.6977013221154,87.7,6.34139110604333,4.71682152606454
"Q2 2006",528,11.1415159871177,4.03542916548988,440.57,87.43,9.50748397435897,343.2215625,184.7784375,26.6977013221154,88.6,5.95936794582393,4.71682152606454
"Q3 2006",538.39,11.1686970885815,4.03542916548988,457.179166666667,81.2108333333333,9.50748397435897,352.554375,185.835625,26.6977013221154,89.1,6.04253647586981,4.71682152606454
"Q4 2006",475.66,-23.1231716580738,4.03542916548988,470.4325,5.22750000000002,9.50748397435897,360.1790625,115.4809375,26.6977013221154,89.4,5.32058165548098,4.71682152606454
"Q1 2007",514.34,-7.51609307009026,4.03542916548988,483.893333333333,30.4466666666667,9.50748397435897,369.2309375,145.1090625,26.6977013221154,90.7,5.67078280044101,4.71682152606454
"Q2 2007",547.58,3.70833333333334,4.03542916548988,498.244166666667,49.3358333333334,9.50748397435897,378.89125,168.68875,26.6977013221154,91.5,5.98448087431694,4.71682152606454
"Q3 2007",566.67,5.25269785842976,4.03542916548988,512.208333333333,54.4616666666666,9.50748397435897,388.325,178.345,26.6977013221154,91.5,6.19311475409836,4.71682152606454
"Q4 2007",580.77,22.0977168565782,4.03542916548988,525.711666666667,55.0583333333333,9.50748397435897,397.7659375,183.0040625,26.6977013221154,92.7,6.26504854368932,4.71682152606454
"Q1 2008",621.71,20.8752964964809,4.03542916548988,542.28,79.4300000000001,9.50748397435897,408.2725,213.4375,26.6977013221154,94.5,6.5789417989418,4.71682152606454
"Q2 2008",709.62,29.5920230833851,4.03542916548988,561.825833333333,147.794166666667,9.50748397435897,420.9171875,288.7028125,26.6977013221154,96.5,7.35357512953368,4.71682152606454
"Q3 2008",890.37,57.12319339298,4.03542916548988,595.665,294.705,9.50748397435897,438.0334375,452.3365625,26.6977013221154,96.6,9.21708074534162,4.71682152606454
"Q4 2008",666.05,14.683954060988,4.03542916548988,599.608333333333,66.4416666666666,9.50748397435897,448.0490625,218.0009375,26.6977013221154,93.4,7.13115631691649,4.71682152606454
"Q1 2009",379.57,-38.9474192147464,4.03542916548988,584.894166666667,-205.324166666667,9.50748397435897,448.241875,-68.671875,26.6977013221154,91.9,4.13025027203482,4.71682152606454
"Q2 2009",418.33,-41.0487303063612,4.03542916548988,575.755,-157.425,9.50748397435897,451.3253125,-32.9953125,26.6977013221154,92.4,4.52738095238095,4.71682152606454
"Q3 2009",491.53,-44.7948605635859,4.03542916548988,571.85,-80.3200000000001,9.50748397435897,457.3940625,34.1359375,26.6977013221154,93.2,5.27392703862661,4.71682152606454
"Q4 2009",469.6,-29.4947826739734,4.03542916548988,571.345,-101.745,9.50748397435897,464.5196875,5.08031250000005,26.6977013221154,94.7,4.95881731784583,4.71682152606454
"Q1 2010",566.55,49.2610058750691,4.03542916548988,575.695833333333,-9.14583333333337,9.50748397435897,474.51,92.04,26.6977013221154,95.4,5.93867924528302,4.71682152606454
"Q2 2010",560.66,34.02337867234,4.03542916548988,576.785833333333,-16.1258333333334,9.50748397435897,483.2121875,77.4478124999999,26.6977013221154,95.4,5.8769392033543,4.71682152606454
"Q3 2010",545.87,11.0552763819096,4.03542916548988,575.0525,-29.1825,9.50748397435897,491.58,54.29,26.6977013221154,95.5,5.71591623036649,4.71682152606454
"Q4 2010",545.28,16.1158432708688,4.03542916548988,572.095,-26.8150000000001,9.50748397435897,499.6728125,45.6071875,26.6977013221154,96.5,5.65056994818653,4.71682152606454
"Q1 2011",620.53,9.52784396787574,4.03542916548988,571.996666666667,48.5333333333333,9.50748397435897,509.534375,110.995625,26.6977013221154,97.8,6.34488752556237,4.71682152606454
"Q2 2011",701.68,25.1524988406521,4.03542916548988,571.335,130.345,9.50748397435897,521.8,179.88,26.6977013221154,98.8,7.10202429149798,4.71682152606454
"Q3 2011",646.29,18.3963214684815,4.03542916548988,550.995,95.295,9.50748397435897,531.4003125,114.8896875,26.6977013221154,98.9,6.53478260869565,4.71682152606454
"Q4 2011",610.54,11.9681631455399,4.03542916548988,546.369166666667,64.1708333333333,9.50748397435897,540.5853125,69.9546875,26.6977013221154,99.6,6.12991967871486,4.71682152606454
"Q1 2012",651.12,4.9296569061931,4.03542916548988,568.998333333333,82.1216666666667,9.50748397435897,549.9075,101.2125,26.6977013221154,99.7,6.53079237713139,4.71682152606454
"Q2 2012",656.63,-6.42030555238855,4.03542916548988,588.856666666667,67.7733333333333,9.50748397435897,558.696875,97.933125,26.6977013221154,99.6,6.59267068273092,4.71682152606454
"Q3 2012",554.16,-14.2552105092141,4.03542916548988,594.075833333333,-39.9158333333334,9.50748397435897,563.5425,-9.38250000000005,26.6977013221154,100.1,5.53606393606394,4.71682152606454
"Q4 2012",631.04,3.35768336226947,4.03542916548988,607.529166666667,23.5108333333333,9.50748397435897,570.1771875,60.8628125,26.6977013221154,100.6,6.2727634194831,4.71682152606454
"Q1 2013",596.86,-8.33333333333333,4.03542916548988,610.055,-13.1949999999999,9.50748397435897,575.61375,21.24625,26.6977013221154,101.5,5.88039408866995,4.71682152606454
"Q2 2013",639.47,-2.61334389229855,4.03542916548988,616.6225,22.8475000000001,9.50748397435897,580.75125,58.71875,26.6977013221154,101.4,6.30641025641026,4.71682152606454
"Q3 2013",614.92,10.9643424281796,4.03542916548988,622.376666666667,-7.45666666666671,9.50748397435897,584.833125,30.086875,26.6977013221154,102,6.02862745098039,4.71682152606454
"Q4 2013",619.61,-1.81129563894523,4.03542916548988,628.570833333333,-8.96083333333331,9.50748397435897,584.860625,34.749375,26.6977013221154,102,6.07460784313726,4.71682152606454
"Q1 2014",617.24,3.41453607211071,4.03542916548988,628.296666666667,-11.0566666666666,9.50748397435897,586.77,30.47,26.6977013221154,103.5,5.96367149758454,4.71682152606454
"Q2 2014",632.88,-1.03054091669664,4.03542916548988,622.563333333333,10.3166666666667,9.50748397435897,590.0475,42.8325,26.6977013221154,103.8,6.0971098265896,4.71682152606454
"Q3 2014",664.58,8.07584726468485,4.03542916548988,624.0875,40.4925000000001,9.50748397435897,593.9909375,70.5890625000001,26.6977013221154,104.1,6.38405379442843,4.71682152606454
"Q4 2014",601.49,-2.9244201998031,4.03542916548988,623.333333333333,-21.8433333333334,9.50748397435897,597.923125,3.56687499999998,26.6977013221154,103.4,5.81711798839458,4.71682152606454
"Q1 2015",426.94,-30.8307951526149,4.03542916548988,604.651666666667,-177.711666666667,9.50748397435897,595.191875,-168.251875,26.6977013221154,102.5,4.16526829268293,4.71682152606454
"Q2 2015",398.51,-37.0322968019214,4.03542916548988,583.141666666667,-184.631666666667,9.50748397435897,590.5334375,-192.0234375,26.6977013221154,102.8,3.87655642023346,4.71682152606454
"Q3 2015",437.18,-34.2170995215023,4.03542916548988,573.393333333333,-136.213333333333,9.50748397435897,586.486875,-149.306875,26.6977013221154,103.3,4.23213939980639,4.71682152606454
"Q4 2015",359.46,-40.2384079535819,4.03542916548988,550.761666666667,-191.301666666667,9.50748397435897,579.5709375,-220.1109375,26.6977013221154,102.7,3.50009737098345,4.71682152606454
"Q1 2016",318.7,-25.3525085492107,4.03542916548988,527.581666666667,-208.881666666667,9.50748397435897,570.101875,-251.401875,26.6977013221154,102.5,3.10926829268293,4.71682152606454
"Q2 2016",332.91,-16.4613184110813,4.03542916548988,502.035,-169.125,9.50748397435897,558.3296875,-225.4196875,26.6977013221154,103.2,3.22587209302326,4.71682152606454
"Q3 2016",378.84,-13.3446177775745,4.03542916548988,482.361666666667,-103.521666666667,9.50748397435897,542.344375,-163.504375,26.6977013221154,103.8,3.64971098265896,4.71682152606454
"Q4 2016",363.17,1.03210371112225,4.03542916548988,460.991666666667,-97.8216666666667,9.50748397435897,532.879375,-169.709375,26.6977013221154,104.8,3.46536259541985,4.71682152606454
